month,borough,communitydistrict,refusetonscollected,papertonscollected,mgptonscollected,resorganicstons,schoolorganictons,leavesorganictons,xmastreetons,otherorganicstons,borough_id
2017 / 01,Manhattan,1,1528.49,346.25,240.21,13.0,,,16.0,,1
2017 / 01,Manhattan,2,2322.79,508.31,336.99,,15.43,,54.6,,1
2017 / 01,Manhattan,3,6167.23,525.36,386.55,,47.97,,41.4,6.76,1
2017 / 01,Manhattan,4,3249.53,676.07,368.13,,,,40.46,,1
2017 / 01,Manhattan,5,1697.98,272.9,181.24,,,,28.0,,1
2017 / 01,Manhattan,6,3324.1,789.62,393.27,14.34,,,39.52,,1
2017 / 01,Manhattan,7,5272.84,1180.12,807.85,17.7,31.87,,93.93,5.3,1
2017 / 01,Manhattan,8,6059.91,1161.38,789.92,8.51,,,185.0,,1
2017 / 01,Manhattan,9,2458.24,285.21,252.39,23.46,70.29,,28.7,,1
2017 / 01,Manhattan,10,6169.46,287.39,283.59,,,,37.8,10.23,1
2017 / 01,Manhattan,11,2395.86,240.29,195.28,,22.8,,15.0,,1
2017 / 01,Manhattan,12,5095.85,480.71,511.75,,25.47,,44.8,,1
2017 / 02,Manhattan,1,1382.57,321.73,215.75,12.37,,,,,1
2017 / 02,Manhattan,2,2045.22,402.17,299.01,,13.1,,,,1
2017 / 02,Manhattan,3,5475.47,431.23,360.01,,33.04,,,6.44,1
2017 / 02,Manhattan,4,2920.56,590.52,353.58,,,,,,1
2017 / 02,Manhattan,5,1565.58,227.42,159.32,,,,,,1
2017 / 02,Manhattan,6,2943.99,694.86,387.17,11.34,,,,,1
2017 / 02,Manhattan,7,4547.98,986.98,708.63,14.74,24.1,,,5.56,1
2017 / 02,Manhattan,8,5248.09,990.17,712.9,7.35,,,,,1
2017 / 02,Manhattan,9,2176.9,248.48,237.18,20.35,55.13,,,,1
2017 / 02,Manhattan,10,5502.04,238.97,246.02,,,,,10.74,1
2017 / 02,Manhattan,11,2050.02,196.64,174.48,,16.17,,,,1
2017 / 02,Manhattan,12,4445.49,411.81,436.99,,22.43,,,,1
2017 / 03,Manhattan,1,1575.9,414.21,259.83,13.2,,,,,1
2017 / 03,Manhattan,2,2268.47,460.4,322.72,,16.6,,,,1
