CD_ID,DISTRICT,SHAPE_Area,Rat_Complaints,Monthly_Trash_Tons
111.0,MN11,"66,146,445.0668882",1379,2831.0533333333333
101.0,MN01,"40,710,976.0632209",439,2222.34
110.0,MN10,"39,080,798.8082581",2563,6923.526666666667
102.0,MN02,"37,719,022.1000202",886,3090.0980555555557
103.0,MN03,"46,882,269.9811591",1532,7192.602222222222
108.0,MN08,"55,045,848.1352828",1539,7856.901111111111
107.0,MN07,"53,154,204.4452353",2974,7024.113888888889
106.0,MN06,"38,695,300.3940392",656,4598.847777777777
104.0,MN04,"49,291,774.1227702",1063,4465.656944444444
109.0,MN09,"41,892,850.0922369",1254,2963.2761111111113
112.0,MN12,"77,969,957.3741703",1856,6013.6625
105.0,MN05,"43,796,730.4747513",515,2228.150277777778
