CD_ID,DISTRICT,SHAPE_Area,Rat_Complaints,Monthly_Trash_Tons,Population,Median_Income
111.0,MN11,"66,146,445.0668882",6257,2855.295882352941,124499,40975.0
101.0,MN01,"40,710,976.0632209",486,2076.1017647058825,71865,200000.0
110.0,MN10,"39,080,798.8082581",4205,6530.990882352941,134893,59061.0
102.0,MN02,"37,719,022.1000202",1316,2793.322352941176,86202,157525.0
103.0,MN03,"46,882,269.9811591",1833,6640.291470588236,153288,58967.0
108.0,MN08,"55,045,848.1352828",3225,6943.440294117647,212308,153866.0
107.0,MN07,"53,154,204.4452353",4367,6071.539705882353,218761,144026.0
106.0,MN06,"38,695,300.3940392",1098,4257.1258823529415,145360,154907.0
104.0,MN04,"49,291,774.1227702",1546,4267.487352941177,117099,116306.0
109.0,MN09,"41,892,850.0922369",1980,2715.514117647059,112774,65048.0
112.0,MN12,"77,969,957.3741703",2829,5633.445294117648,188591,67024.0
105.0,MN05,"43,796,730.4747513",555,2086.961176470588,51619,167989.0
